fpl_id,first_name,second_name,web_name,position,team,start_cost,now_cost
1,Bernd,Leno,Leno,G,Arsenal,5.0,5.0
2,Rúnar Alex,Rúnarsson,Rúnarsson,G,Arsenal,4.0,4.0
3,Willian,Borges Da Silva,Willian,M,Arsenal,6.5,6.5
4,Pierre-Emerick,Aubameyang,Aubameyang,F,Arsenal,10.0,10.0
5,Cédric,Soares,Cédric,D,Arsenal,4.5,4.5
6,Alexandre,Lacazette,Lacazette,F,Arsenal,8.5,8.5
7,Granit,Xhaka,Xhaka,M,Arsenal,5.0,5.0
8,Pablo,Marí,Marí,D,Arsenal,4.5,4.5
9,Héctor,Bellerín,Bellerín,D,Arsenal,5.0,5.0
10,Calum,Chambers,Chambers,D,Arsenal,4.5,4.5
11,Sead,Kolasinac,Kolasinac,D,Arsenal,4.5,4.5
12,Mohamed Naser,El Sayed Elneny,Elneny,M,Arsenal,4.5,4.5
13,Ainsley,Maitland-Niles,Maitland-Niles,M,Arsenal,5.5,5.5
14,Rob,Holding,Holding,D,Arsenal,4.5,4.5
15,Thomas,Partey,Partey,M,Arsenal,5.0,5.0
16,Kieran,Tierney,Tierney,D,Arsenal,5.0,5.0
17,Nicolas,Pépé,Pépé,M,Arsenal,7.5,7.5
18,Lucas,Torreira,Torreira,M,Arsenal,4.5,4.5
19,Joseph,Willock,Willock,M,Arsenal,6.0,6.0
20,Edward,Nketiah,Nketiah,F,Arsenal,5.5,5.5
21,Emile,Smith Rowe,Smith Rowe,M,Arsenal,5.5,5.5
22,Bukayo,Saka,Saka,M,Arsenal,6.5,6.5
23,Gabriel,Magalhães,Gabriel,D,Arsenal,5.0,5.0
24,Konstantinos,Mavropanos,Mavropanos,D,Arsenal,4.5,4.5
25,Mattéo,Guendouzi,Guendouzi,M,Arsenal,4.5,4.5
26,Gabriel Teodoro,Martinelli Silva,Martinelli,M,Arsenal,5.5,5.5
27,William,Saliba,Saliba,D,Arsenal,4.5,4.5
28,Jed,Steer,Steer,G,Aston Villa,4.0,4.0
29,Conor,Hourihane,Hourihane,M,Aston Villa,5.0,5.0
30,Emiliano,Martínez,Martínez,G,Aston Villa,5.5,5.5
31,Björn,Engels,Engels,D,Aston Villa,4.5,4.5
32,Bertrand,Traoré,Traoré,M,Aston Villa,6.0,6.0
33,Jack,Grealish,Grealish,M,Aston Villa,8.0,8.0
34,Morgan,Sanson,Sanson,M,Aston Villa,5.0,5.0
35,John,McGinn,McGinn,M,Aston Villa,6.0,6.0
36,Kortney,Hause,Hause,D,Aston Villa,4.5,4.5
37,Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,M,Aston Villa,5.5,5.5
38,Tyrone,Mings,Mings,D,Aston Villa,5.0,5.0
39,Matt,Targett,Targett,D,Aston Villa,5.0,5.0
40,Ollie,Watkins,Watkins,F,Aston Villa,7.5,7.5
41,Marvelous,Nakamba,Nakamba,M,Aston Villa,4.5,4.5
42,Anwar,El Ghazi,El Ghazi,M,Aston Villa,6.0,6.0
43,Emiliano,Buendía Stati,Buendía,M,Aston Villa,6.5,6.5
44,Matthew,Cash,Cash,D,Aston Villa,5.0,5.0
45,Ezri,Konsa Ngoyo,Konsa,D,Aston Villa,5.0,5.0
46,Frédéric,Guilbert,Guilbert,D,Aston Villa,4.5,4.5
47,Wesley,Moraes,Wesley,F,Aston Villa,5.5,5.5
48,Mbwana Ally,Samatta,Samatta,F,Aston Villa,5.5,5.5
49,Keinan,Davis,Davis,F,Aston Villa,4.5,4.5
50,Douglas Luiz,Soares de Paulo,Douglas Luiz,M,Aston Villa,4.5,4.5
